,datetime,y,week,soldout,name,kcal,remarks,event,payday,weather,precipitation,temperature,train_flg,after_holiday,before_holiday,YM,y_rolling_mean5,y_pct_change_1,y_pct_change_2,y_pct_change_3,y_pct_change_4,y_pct_change_5
174,2014-08-08,129.0,5,0,チキンカレー,,4,1,1.0,2,-1.0,31.1,True,0,1,201408,75.8,1.0476190476190474,1.2241379310344827,1.3888888888888888,0.72,2.3947368421052633
196,2014-09-12,115.0,5,0,ポークカレー,,4,1,0.0,3,-1.0,27.3,True,0,1,201409,70.6,1.1698113207547172,1.1296296296296298,0.8253968253968254,0.6911764705882353,1.6744186046511627
181,2014-08-22,100.0,5,1,ロコモコ丼,,4,1,0.0,3,-1.0,33.1,True,0,1,201408,63.8,0.8518518518518519,0.7857142857142858,0.8867924528301887,0.7857142857142858,1.5
115,2014-05-16,126.0,5,0,ポークカレー,,4,2,0.0,1,-1.0,23.8,True,0,1,201405,78.2,1.1724137931034484,0.96875,0.8,0.726027397260274,1.1724137931034484
155,2014-07-11,124.0,5,0,ポークカレー,,4,1,0.0,3,-1.0,33.9,True,0,1,201407,72.8,1.5833333333333335,1.2962962962962963,1.2142857142857144,0.5121951219512195,0.9682539682539681
86,2014-04-02,99.0,3,0,肉じゃが,380.0,1,1,0.0,4,-1.0,18.2,True,0,0,201404,93.8,-0.20799999999999996,0.1785714285714286,-0.06603773584905659,0.8,0.9411764705882353
125,2014-05-30,119.0,5,0,チキンカレー,,4,1,0.0,4,-1.0,26.9,True,0,1,201405,82.6,0.859375,0.6081081081081081,0.5063291139240507,0.5454545454545454,0.8307692307692307
87,2014-04-03,100.0,4,1,酢豚,390.0,1,1,0.0,5,1.0,14.3,True,0,0,201404,102.8,0.010101010101010166,-0.19999999999999996,0.19047619047619047,-0.05660377358490565,0.8181818181818181
118,2014-05-21,104.0,3,1,チーズハンバーグ,430.0,1,1,0.0,5,6.0,17.4,True,0,0,201405,85.8,0.46478873239436624,0.48571428571428577,-0.17460317460317465,0.7931034482758621,0.625
85,2014-04-01,125.0,2,1,メンチカツ,377.0,1,1,0.0,4,-1.0,16.1,True,0,0,201404,84.2,0.48809523809523814,0.179245283018868,1.272727272727273,1.450980392156863,0.6233766233766234
32,2014-01-14,129.0,2,1,鶏の照り焼きマスタード,376.0,1,1,0.0,3,-1.0,5.8,True,1,0,201401,120.8,0.48275862068965525,0.0,0.0078125,-0.01526717557251911,0.6125
164,2014-07-25,83.0,5,0,ひやしたぬきうどん・炊き込みご飯,,4,1,0.0,3,-1.0,33.6,True,0,1,201407,61.8,0.33870967741935476,0.4821428571428572,0.5660377358490567,0.509090909090909,0.5660377358490567
55,2014-02-17,137.0,1,1,チンジャオロース,416.0,1,1,0.0,3,-1.0,11.6,True,1,0,201402,111.0,0.5930232558139534,0.6309523809523809,0.23423423423423428,0.0,0.5054945054945055
5,2013-11-25,135.0,1,1,鶏の唐揚,,1,1,0.0,2,-1.0,14.6,True,1,0,201311,120.8,0.03846153846153855,0.125,0.14406779661016955,0.3366336633663367,0.5
112,2014-05-13,70.0,2,1,白身魚唐揚げ野菜餡かけ,428.0,1,1,0.0,5,0.0,18.6,True,0,0,201405,69.6,-0.04109589041095896,0.2068965517241379,0.18644067796610164,-0.20454545454545459,0.4893617021276595
79,2014-03-24,102.0,1,0,マーボ豆腐,350.0,1,1,0.0,1,-1.0,17.4,True,1,0,201403,98.6,0.020000000000000018,0.41666666666666674,0.1333333333333333,-0.2093023255813954,0.4571428571428571
36,2014-01-20,126.0,1,1,ジューシーメンチカツ,375.0,1,1,0.0,3,-1.0,6.5,True,1,0,201401,116.2,0.48235294117647065,0.17757009345794383,-0.05970149253731338,-0.023255813953488413,0.4482758620689655
6,2013-11-26,145.0,2,0,豚のスタミナ炒め,,1,1,0.0,1,-1.0,17.9,True,0,0,201311,129.6,0.07407407407407418,0.11538461538461542,0.20833333333333326,0.22881355932203395,0.4356435643564356
103,2014-04-25,80.0,5,0,中華丼,,4,1,0.0,3,-1.0,20.8,True,0,1,201404,77.2,0.4285714285714286,0.26984126984126977,0.02564102564102555,-0.2660550458715596,0.4285714285714286
93,2014-04-11,128.0,5,1,チキンカレー,,4,1,0.0,1,-1.0,16.5,True,0,1,201404,101.2,0.47126436781609193,0.4545454545454546,0.33333333333333326,0.19626168224299056,0.4222222222222223
23,2013-12-19,151.0,4,0,ポーク味噌焼き,,1,1,0.0,5,0.5,6.8,True,0,0,201312,142.4,0.04137931034482767,0.04137931034482767,-0.05625000000000002,0.36036036036036045,0.3853211009174311
206,2014-09-30,40.0,2,0,鶏肉とカシューナッツ炒め,398.0,1,1,0.0,1,-1.0,28.1,True,0,0,201409,50.0,-0.2857142857142857,-0.11111111111111116,-0.19999999999999996,-0.3220338983050848,0.3793103448275863
138,2014-06-18,66.0,3,1,ビーフストロガノフ,426.0,5,1,0.0,5,0.0,21.9,True,0,0,201406,79.6,0.04761904761904767,-0.13157894736842102,-0.4545454545454546,-0.08333333333333337,0.32000000000000006
59,2014-02-21,113.0,5,0,酢豚orカレー,410.0,3,2,0.0,1,-1.0,8.5,True,0,1,201402,109.4,0.3294117647058823,0.0,0.14141414141414144,-0.17518248175182483,0.3139534883720929
135,2014-06-13,121.0,5,0,キーマカレー,,4,1,0.0,3,-1.0,29.5,True,0,1,201406,74.6,0.6805555555555556,1.42,1.1607142857142856,0.6351351351351351,0.30107526881720426
145,2014-06-27,74.0,5,0,牛丼,,4,1,0.0,5,0.0,25.4,True,0,1,201406,64.0,0.510204081632653,0.15625,0.21311475409836067,0.02777777777777768,0.29824561403508776
183,2014-08-26,68.0,2,0,キーマカレー,400.0,1,1,0.0,5,0.0,26.2,True,0,0,201408,66.6,0.23636363636363633,-0.31999999999999995,0.2592592592592593,0.2142857142857142,0.28301886792452824
89,2014-04-07,107.0,1,0,青梗菜牛肉炒め,387.0,1,1,0.0,1,-1.0,13.8,True,1,0,201404,104.2,0.18888888888888888,0.07000000000000006,0.08080808080808088,-0.14400000000000002,0.2738095238095237
151,2014-07-07,82.0,1,1,和風ハンバーグ,354.0,1,1,0.0,5,0.5,24.0,True,1,0,201407,60.4,0.3015873015873016,0.5471698113207548,0.6399999999999999,0.5185185185185186,0.2615384615384615
8,2013-11-28,151.0,4,0,ハンバーグ,,1,1,0.0,4,-1.0,17.7,True,0,0,201311,140.2,0.07857142857142851,0.04137931034482767,0.11851851851851847,0.16153846153846163,0.2583333333333333
78,2014-03-20,100.0,4,1,鶏の親子煮,372.0,1,3,0.0,5,0.5,7.5,True,0,1,201403,92.2,0.38888888888888884,0.11111111111111116,-0.22480620155038755,0.4285714285714286,0.25
205,2014-09-29,56.0,1,1,豚肉と玉子の炒め,404.0,1,1,0.0,1,-1.0,26.6,True,1,0,201409,47.8,0.24444444444444446,0.1200000000000001,-0.05084745762711862,0.9310344827586208,0.24444444444444446
105,2014-04-30,97.0,3,1,豚味噌メンチカツ,368.0,1,1,0.0,5,0.5,17.5,True,1,0,201404,70.0,0.7962962962962963,0.2124999999999999,0.7321428571428572,0.5396825396825398,0.2435897435897436
24,2013-12-20,134.0,5,1,鶏の唐揚げ甘酢あん,,1,1,0.0,2,-1.0,8.4,True,0,1,201312,147.0,-0.11258278145695366,-0.07586206896551728,-0.07586206896551728,-0.16249999999999998,0.2072072072072073
180,2014-08-21,54.0,4,0,チキン南蛮,405.0,1,3,0.0,4,-1.0,33.0,True,0,0,201408,51.8,-0.0357142857142857,0.018867924528301883,-0.0357142857142857,0.3500000000000001,0.19999999999999996
7,2013-11-27,140.0,3,1,ボローニャ風カツ,,1,1,0.0,3,-1.0,14.7,True,0,0,201311,134.0,-0.03448275862068961,0.03703703703703698,0.07692307692307687,0.16666666666666674,0.18644067796610164
